date,open,high,low,close,volume,bar_count,average
20220427  15:01:00,398.92,399.635,398.735,399.625,,,
20220427  15:02:00,399.625,399.66,398.875,398.89,,,
20220427  15:03:00,398.89,398.93,398.155,398.175,,,
20220427  15:04:00,398.175,398.79,397.81,398.49,,,
20220427  15:05:00,398.49,398.76,398.27,398.605,,,
20220427  15:06:00,398.605,398.93,398.255,398.695,,,
20220427  15:07:00,398.695,398.705,398.175,398.48,,,
20220427  15:08:00,398.48,398.63,397.905,398.01,,,
20220427  15:09:00,398.01,398.545,398.005,398.465,,,
20220427  15:10:00,398.465,398.85,398.08,398.71,,,
20220427  15:11:00,398.71,398.72,397.95,398.075,,,
20220427  15:12:00,398.075,398.6,398.02,398.215,,,
20220427  15:13:00,398.215,399.215,397.805,399.175,,,
20220427  15:14:00,399.175,399.225,398.56,398.73,,,
20220427  15:15:00,398.73,399.2,397.875,397.99,,,
20220427  15:16:00,397.99,397.99,397.24,397.3,,,
20220427  15:17:00,397.3,397.82,397.275,397.655,,,
20220427  15:18:00,397.655,398.125,397.61,397.9,,,
20220427  15:19:00,397.9,397.9,397.435,397.71,,,
20220427  15:20:00,397.71,397.89,396.945,397.04,,,
20220427  15:21:00,397.04,397.565,396.68,397.215,,,
20220427  15:22:00,397.215,397.53,397.19,397.525,,,
20220427  15:23:00,397.525,398.085,397.17,397.89,,,
20220427  15:24:00,397.89,398.19,397.665,398.005,,,
20220427  15:25:00,398.005,398.525,397.965,398.23,,,
20220427  15:26:00,398.23,398.575,397.975,398.505,,,
20220427  15:27:00,398.505,399.04,398.45,398.655,,,
20220427  15:28:00,398.655,398.82,398.06,398.155,,,
20220427  15:29:00,398.155,398.725,398.1,398.675,,,
20220427  15:30:00,398.675,398.7,398.055,398.395,,,
20220427  15:31:00,398.395,398.87,398.16,398.165,,,
20220427  15:32:00,398.165,398.665,398.135,398.515,,,
20220427  15:33:00,398.515,398.525,397.985,398.27,,,
20220427  15:34:00,398.27,398.83,398.25,398.435,,,
20220427  15:35:00,398.435,398.99,398.24,398.655,,,
20220427  15:36:00,398.655,398.77,398.1,398.17,,,
20220427  15:37:00,398.17,398.175,396.97,397.055,,,
20220427  15:38:00,397.055,397.485,396.965,397.45,,,
20220427  15:39:00,397.45,397.845,396.87,397.13,,,
20220427  15:40:00,397.13,398.035,397.125,397.49,,,
20220427  15:41:00,397.49,397.61,396.97,396.995,,,
20220427  15:42:00,396.995,397.855,396.995,397.84,,,
20220427  15:43:00,397.84,398.25,397.55,398.23,,,
20220427  15:44:00,398.23,399.605,398.225,399.115,,,
20220427  15:45:00,399.115,399.44,398.93,399.145,,,
20220427  15:46:00,399.145,400.005,399.135,399.895,,,
20220427  15:47:00,399.895,399.95,399.285,399.3,,,
20220427  15:48:00,399.3,399.3,398.335,398.335,,,
20220427  15:49:00,398.335,398.34,397.03,397.315,,,
20220427  15:50:00,397.315,397.79,397.11,397.335,,,
20220427  15:51:00,397.335,397.655,397.26,397.32,,,
20220427  15:52:00,397.32,397.89,397.045,397.715,,,
20220427  15:53:00,397.715,397.845,397.17,397.595,,,
20220427  15:54:00,397.595,397.945,397.36,397.66,,,
20220427  15:55:00,397.66,398.67,397.66,398.395,,,
20220427  15:56:00,398.395,398.7,397.785,398.245,,,
20220427  15:57:00,398.245,398.375,397.685,398.37,,,
20220427  15:58:00,398.37,398.375,397.8,397.985,,,
20220427  15:59:00,397.985,398.495,397.59,397.82,,,
20220428  09:30:00,406.29,409.52,404.48,408.43,,,
20220428  09:31:00,408.43,409.91,406.805,407.18,,,
20220428  09:32:00,407.18,408.44,405.42,405.46,,,
20220428  09:33:00,405.46,408.72,405.46,408.07,,,
20220428  09:34:00,408.07,409.695,407.545,408.32,,,
20220428  09:35:00,408.32,408.65,406.855,408.045,,,
20220428  09:36:00,408.045,408.045,406.285,406.38,,,
20220428  09:37:00,406.38,407.765,405.86,406.86,,,
20220428  09:38:00,406.86,407.635,406.03,406.605,,,
20220428  09:39:00,406.605,407.655,406.39,406.71,,,
20220428  09:40:00,406.71,407.495,405.725,407.39,,,
20220428  09:41:00,407.39,407.47,406.59,407.425,,,
20220428  09:42:00,407.425,407.425,405.63,405.915,,,
20220428  09:43:00,405.915,406.6,404.64,405.05,,,
20220428  09:44:00,405.05,405.205,403.45,403.735,,,
20220428  09:45:00,403.735,405.91,403.735,404.305,,,
20220428  09:46:00,404.305,405.32,404.12,404.4,,,
20220428  09:47:00,404.4,405.68,404.4,405.4,,,
20220428  09:48:00,405.4,405.405,403.83,403.98,,,
20220428  09:49:00,403.98,404.78,403.71,404.34,,,
20220428  09:50:00,404.34,404.41,403.3,403.49,,,
20220428  09:51:00,403.49,403.49,402.41,402.565,,,
20220428  09:52:00,402.565,403.555,402.53,403.225,,,
20220428  09:53:00,403.225,403.815,402.925,403.335,,,
20220428  09:54:00,403.335,404.775,403.235,403.875,,,
20220428  09:55:00,403.875,404.565,403.505,404.015,,,
20220428  09:56:00,404.015,405.315,404.015,405.185,,,
20220428  09:57:00,405.185,405.42,404.7,405.405,,,
20220428  09:58:00,405.405,405.43,404.77,405.38,,,
20220428  09:59:00,405.38,405.4,404.945,405.225,,,
20220428  10:00:00,405.225,405.27,402.64,403.145,,,
20220428  10:01:00,403.145,403.705,402.91,403.215,,,
20220428  10:02:00,403.215,403.74,402.79,403.405,,,
20220428  10:03:00,403.405,403.835,403.145,403.795,,,
20220428  10:04:00,403.795,404.5,403.595,403.74,,,
20220428  10:05:00,403.74,403.85,402.87,403.135,,,
20220428  10:06:00,403.135,404.085,403.07,403.81,,,
20220428  10:07:00,403.81,404.695,403.505,404.66,,,
20220428  10:08:00,404.66,404.73,404.465,404.545,,,
20220428  10:09:00,404.545,404.655,403.17,403.72,,,
20220428  10:10:00,403.72,403.81,402.76,403.36,,,
20220428  10:11:00,403.36,403.54,402.465,402.945,,,
20220428  10:12:00,402.945,402.945,401.86,402.06,,,
